PUBLICATION,EXTRACT_DATE,TYPE,CCG_CODE,ONS_CCG_CODE,CODE,POSTCODE,SEX,AGE,NUMBER_OF_PATIENTS,AS_PERCENT,NO_OF_APPTS
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81004,BS20 6AQ,ALL,ALL,18856,1.82%,7352
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81007,BS3 1AS,ALL,ALL,37489,3.62%,14618
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81008,BS11 9SB,ALL,ALL,11204,1.08%,4369
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81009,BS14 8PT,ALL,ALL,10084,0.97%,3932
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81012,BS6 5PT,ALL,ALL,21763,2.10%,8486
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81013,BS16 3TD,ALL,ALL,13421,1.30%,5233
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81014,BS36 2DE,ALL,ALL,14511,1.40%,5658
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81015,BS5 0UA,ALL,ALL,16911,1.63%,6594
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81016,BS23 1YA,ALL,ALL,12444,1.20%,4852
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81017,BS9 3AA,ALL,ALL,10909,1.05%,4254
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81018,BS35 1DP,ALL,ALL,8463,0.82%,3300
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81019,BS34 6BQ,ALL,ALL,14762,1.43%,5756
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81021,BS25 1AF,ALL,ALL,9639,0.93%,3758
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81022,BS7 9RR,ALL,ALL,17825,1.72%,6950
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81023,BS5 6SA,ALL,ALL,10418,1.01%,4062
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81024,BS37 4DQ,ALL,ALL,14639,1.41%,5708
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81026,BS16 5SG,ALL,ALL,26176,2.53%,10207
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81028,BS7 0LS,ALL,ALL,52,0.01%,20
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81029,BS30 5QQ,ALL,ALL,9490,0.92%,3700
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81031,BS14 0SU,ALL,ALL,16697,1.61%,6511
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81033,BS4 4HU,ALL,ALL,15475,1.50%,6034
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81034,BS48 2XX,ALL,ALL,32742,3.16%,12767
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81036,BS34 5TF,ALL,ALL,10260,0.99%,4001
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81037,BS10 6SP,ALL,ALL,20817,2.01%,8117
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81038,BS5 7PD,ALL,ALL,13284,1.28%,5180
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81040,BS21 6DG,ALL,ALL,16191,1.56%,6313
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81041,BS13 0JP,ALL,ALL,6794,0.66%,2649
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81042,BS37 4AA,ALL,ALL,11554,1.12%,4505
