Name,Address 1,Address 2,Town/City,County,Postcode,Phone number,CQC Provider ID (for office use only),CQC Location ID (for office use only),Website,Local authority,Region,Report publication date,URL,Also known as,Specialisms/services,Service types,Provider name
Central Health Clinic,Tower Hill,,Bristol,,BS2 0JD,,RA7,RA7CQ,http://www.uhbristol.nhs.uk,"Bristol, City of",South West,2014-12-02T00:00:00Z,http://www.cqc.org.uk/location/RA7CQ,,Services for everyone,"Hospital,Ambulances",University Hospitals Bristol NHS Foundation Trust
Ultrasound Baby Face Ltd,21 Union Gallery,Broadmead,Bristol,,BS1 3XD,1174038434,1-1616736842,,,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-1616736842,Ultrasound Baby Face,Diagnostic and screening procedures,Organisation,
Ultrasound Baby Face,21 Union Gallery,The Mall,Bristol,,BS1 3XD,1174038434,1-1616736842,1-5208370979,http://www.ultrasoundbabyface.com,"Bristol, City of",South West,,http://www.cqc.org.uk/location/1-5208370979,,"Caring for children (0 - 18yrs),Caring for adults under 65 yrs",Diagnosis/screening,Ultrasound Baby Face Ltd
New Key Bristol,"7th Floor, Tower House",Fairfax Street,Bristol,Avon,BS1 3BN,1179338551,1-101692427,1-438671511,http://www.newkey.org.uk,"Bristol, City of",South West,2017-08-09T23:00:00Z,http://www.cqc.org.uk/location/1-438671511,,"Caring for adults under 65 yrs,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,KPW Newkey Ltd
"Optical Express, Bristol Clinic","9th Floor, Castlemead",Lower Castle Street,Bristol,Avon,BS1 3AG,1179279704,1-2120953506,1-2333745901,http://www.opticalexpress.com,"Bristol, City of",South West,2018-09-12T23:00:00Z,http://www.cqc.org.uk/location/1-2333745901,,"Sensory impairments,Caring for adults under 65 yrs,Caring for adults over 65 yrs",Clinic,Optical Express (Gyle) Limited
Broadmead Medical Centre,59 Broadmead,,Bristol,,BS1 3EA,1179549828,1-199760373,1-374490463,,"Bristol, City of",South West,2019-10-31T00:00:00Z,http://www.cqc.org.uk/location/1-374490463,,Services for everyone,"Doctors/GPs,Doctors/GPs,Mobile doctors",Brisdoc Healthcare Services Limited
High Street Dental Practice,44 High Street,,Bristol,,BS1 2AZ,1179260265,1-2200359918,1-2240261633,http://www.highstreetdental.co.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/location/1-2240261633,,Services for everyone,Dentist,Cinal Ltd
Brook Bristol,"3rd Floor, The Station",Silver Street,Bristol,,BS1 2AG,1179290090,1-1056342029,1-1062780242,http://www.brook.org.uk,"Bristol, City of",South West,2019-12-20T00:00:00Z,http://www.cqc.org.uk/location/1-1062780242,,"Caring for children (0 - 18yrs),Caring for adults under 65 yrs",Community services - Healthcare,Brook Young People
Complete Fertility Limited,2 Temple Back East,Temple Quay,Bristol,,BS1 6EG,2381206980,1-4203416783,,http://www.completefertility.co.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-4203416783,Complete Fertility Centre Southampton,"Treatment of disease disorder or injury,Diagnostic and screening procedures",Organisation,
The Slimming Clinic,28 Bond Street,,Bristol,,BS1 3LX,,1-2496909528,1-6115011879,,"Bristol, City of",South West,,http://www.cqc.org.uk/location/1-6115011879,,Caring for adults under 65 yrs,Doctors/GPs,Slim Holdings Limited
