source,dest,diagnosis,referrals
BS20 6AQ,BS10 5NB,Intestinal infectious diseases,4
BS20 6AQ,BS10 5NB,Tuberculosis,0
BS20 6AQ,BS10 5NB,Certain bacterial diseases,4
BS20 6AQ,BS10 5NB,Infections with predominantly sexual mode of transmission,0
BS20 6AQ,BS10 5NB,Other infectious and parasitic disorders,0
BS20 6AQ,BS10 5NB,Viral infections of the central nervous system,0
BS20 6AQ,BS10 5NB,Arthropod-borne viral fevers & viral haemorrhagic fevers,0
BS20 6AQ,BS10 5NB,Viral infections characterized by skin & mucous mem. lesns.,0
BS20 6AQ,BS10 5NB,Viral hepatitis,0
BS20 6AQ,BS10 5NB,Human immunodeficiency virus [HIV] disease,0
BS20 6AQ,BS10 5NB,Other viral diseases,3
BS20 6AQ,BS10 5NB,Mycoses,0
BS20 6AQ,BS10 5NB,Protozoal diseases,0
BS20 6AQ,BS10 5NB,Helminthiases,0
BS20 6AQ,BS10 5NB,Other infectious and parasitic diseases,0
BS20 6AQ,BS10 5NB,Malignant neoplasm of lip-oral cavity and pharynx,1
BS20 6AQ,BS10 5NB,Malignant neoplasm of digestive organs,7
BS20 6AQ,BS10 5NB,Malignant neoplasms of respiratory & intrathoracic organs,3
BS20 6AQ,BS10 5NB,Malignant neoplasm of bone and articular cartilage,0
BS20 6AQ,BS10 5NB,Malignant neoplasms of skin,4
BS20 6AQ,BS10 5NB,Malignant neoplasms of mesothelial and soft tissue,1
BS20 6AQ,BS10 5NB,Malignant neoplasm of breast,6
BS20 6AQ,BS10 5NB,Malignant neoplasms of female genital organs,2
BS20 6AQ,BS10 5NB,Malignant neoplasms of male genital organs,2
BS20 6AQ,BS10 5NB,Malignant neoplasms of urinary tract,2
BS20 6AQ,BS10 5NB,"Malignant neoplasms of eye, brain & other parts of CNS",1
BS20 6AQ,BS10 5NB,Malignant neoplsm. of thyroid and oth. endo. Glands etc,5
BS20 6AQ,BS10 5NB,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss.",10
BS20 6AQ,BS10 5NB,In situ & benign neoplasms and others of uncertainty,11
BS20 6AQ,BS10 5NB,Anaemias,8
BS20 6AQ,BS10 5NB,Diseases of the blood and blood-forming organs,2
BS20 6AQ,BS10 5NB,Disorders of thyroid gland,0
BS20 6AQ,BS10 5NB,Diabetes Mellitus,1
BS20 6AQ,BS10 5NB,Endocrine nutritional and metabolic diseases,6
BS20 6AQ,BS10 5NB,Dementia,0
BS20 6AQ,BS10 5NB,Other organic including symptomatic mental disorders,1
BS20 6AQ,BS10 5NB,Mental and behavioural disorders due to psychoactive subst.,1
BS20 6AQ,BS10 5NB,"Schizophrenia, schizotypal and delusional disorders",1
BS20 6AQ,BS10 5NB,Mood [affective] disorders,1
BS20 6AQ,BS10 5NB,"Neurotic, behavioural & personality disorders",1
BS20 6AQ,BS10 5NB,Mental retardation,0
BS20 6AQ,BS10 5NB,Other mental and behavioural disorders,0
BS20 6AQ,BS10 5NB,Inflammatory diseases of the central nervous system,0
BS20 6AQ,BS10 5NB,Other degenerative diseases (incl. Alzheimer).,0
BS20 6AQ,BS10 5NB,Extrapyramidal & movement disorders (incl. Parkinsonism).,0
BS20 6AQ,BS10 5NB,Demyelinating diseases (incl Multiple Sclerosis) of the CNS.,1
BS20 6AQ,BS10 5NB,"Epilepsy, migraine & other episodic disorders",3
BS20 6AQ,BS10 5NB,Other diseases & disorders of the nervous syst.,4
BS20 6AQ,BS10 5NB,Cerebral palsy & other paralytic syndromes,0
BS20 6AQ,BS10 5NB,Other disorders of the eye etc,6
BS20 6AQ,BS10 5NB,Disorders of conjunctiva (including conjunctivitis),0
BS20 6AQ,BS10 5NB,Disorders of lens (including cataracts),12
BS20 6AQ,BS10 5NB,Glaucoma,1
BS20 6AQ,BS10 5NB,Diseases of the ear and mastoid process,2
BS20 6AQ,BS10 5NB,Rheumatic heart disease,0
BS20 6AQ,BS10 5NB,Hypertensive diseases,1
BS20 6AQ,BS10 5NB,Ischaemic heart diseases,7
BS20 6AQ,BS10 5NB,Pulmonary heart disease & diseases of pulmonary circulation,1
BS20 6AQ,BS10 5NB,Other forms of heart disease,8
BS20 6AQ,BS10 5NB,Cerebrovascular diseases,3
BS20 6AQ,BS10 5NB,"Diseases of arteries, arterioles & capillaries",2
BS20 6AQ,BS10 5NB,Diseases of veins & lymphatic system nec.,2
BS20 6AQ,BS10 5NB,Other & unspecified disorders of the circulatory system,1
BS20 6AQ,BS10 5NB,Acute upper respiratory infections,4
BS20 6AQ,BS10 5NB,Influenza & pneumonia,7
BS20 6AQ,BS10 5NB,Other acute lower respiratory infections,5
BS20 6AQ,BS10 5NB,Other diseases of upper respiratory tract,3
BS20 6AQ,BS10 5NB,Chronic lower respiratory diseases,6
BS20 6AQ,BS10 5NB,Lung diseases due to external agents,1
BS20 6AQ,BS10 5NB,Other diseases of the respiratory system,2
BS20 6AQ,BS10 5NB,"Diseases of oral cavity, salivary glands & jaws",7
BS20 6AQ,BS10 5NB,"Diseases of oesophagus, stomach & duodenum",11
BS20 6AQ,BS10 5NB,Diseases of appendix,1
BS20 6AQ,BS10 5NB,Hernia,5
BS20 6AQ,BS10 5NB,Noninfective enteritis & colitis,7
BS20 6AQ,BS10 5NB,Other diseases of intestines,17
BS20 6AQ,BS10 5NB,Diseases of peritoneum,0
BS20 6AQ,BS10 5NB,Diseases of liver,1
BS20 6AQ,BS10 5NB,"Disorders of gall bladder, biliary tract & pancreas",5
BS20 6AQ,BS10 5NB,Other diseases of the digestive system,4
BS20 6AQ,BS10 5NB,Other infections and disorders of the skin,8
BS20 6AQ,BS10 5NB,Dermatitis and eczema,0
BS20 6AQ,BS10 5NB,Papulosquamous disorders (including Psoriasis),0
BS20 6AQ,BS10 5NB,Urticaria and erythems,0
BS20 6AQ,BS10 5NB,Arthropathies,16
BS20 6AQ,BS10 5NB,Systemic connective tissue disorders,1
BS20 6AQ,BS10 5NB,Dorsopathies,8
BS20 6AQ,BS10 5NB,Soft tissue disorders,6
BS20 6AQ,BS10 5NB,Osteopathies and chondropathies,2
BS20 6AQ,BS10 5NB,Other disorders of the musculoskeletal system & conn. tiss.,0
BS20 6AQ,BS10 5NB,Diseases of the kidney,2
BS20 6AQ,BS10 5NB,Renal failure,2
BS20 6AQ,BS10 5NB,Urolithiasis,2
BS20 6AQ,BS10 5NB,Other disorders of kidney & ureter,0
BS20 6AQ,BS10 5NB,Other diseases of the urinary system,7
BS20 6AQ,BS10 5NB,Diseases of male genital organs,3
BS20 6AQ,BS10 5NB,Disorders of breast,0
BS20 6AQ,BS10 5NB,Inflammatory diseases of female pelvic organs,1
BS20 6AQ,BS10 5NB,Noninflammatory disorders of female genital tract,5
BS20 6AQ,BS10 5NB,Other disorders of the genitourinary system,0
BS20 6AQ,BS10 5NB,Pregnancy with abortive outcome,3
BS20 6AQ,BS10 5NB,Complications of labour and delivery,27
BS20 6AQ,BS10 5NB,Delivery,1
BS20 6AQ,BS10 5NB,Complications of fetus/neonate affected by maternal,0
BS20 6AQ,BS10 5NB,Other conditions originating in the perinatal period,6
BS20 6AQ,BS10 5NB,Congenital malformations,3
BS20 6AQ,BS10 5NB,Chromosomal abnormalities nec.,0
BS20 6AQ,BS10 5NB,Symptoms & signs inv. the circulatory/respiratory system,11
BS20 6AQ,BS10 5NB,Symptoms & signs inv. the digestive system & abdomen,14
BS20 6AQ,BS10 5NB,Symptoms & signs inv. the skin & subcutaneous tissue,1
BS20 6AQ,BS10 5NB,Symptoms & signs inv. the nervous & musculoskeletal sys.,3
BS20 6AQ,BS10 5NB,Symptoms & signs involving the urinary system,3
BS20 6AQ,BS10 5NB,Symptoms & signs inv. Cognition perception etc.,2
BS20 6AQ,BS10 5NB,Symptoms & signs inv. speech & voice,0
BS20 6AQ,BS10 5NB,General symptoms & signs,8
BS20 6AQ,BS10 5NB,Unknown & unspecified causes of morbidity,5
BS20 6AQ,BS10 5NB,Abnormal findings of bodily fluids or samples without diag.,1
BS20 6AQ,BS10 5NB,Abnormal findings on diagnostic imaging/function studies,1
BS20 6AQ,BS10 5NB,Injuries to the head,5
BS20 6AQ,BS10 5NB,Injuries to the neck,0
BS20 6AQ,BS10 5NB,Injuries to the thorax,1
BS20 6AQ,BS10 5NB,"Injuries to abdomen, lower back, lumbar spine & pelvis",1
BS20 6AQ,BS10 5NB,Injuries to the shoulder & upper arm,1
BS20 6AQ,BS10 5NB,Injuries to the elbow & forearm,2
BS20 6AQ,BS10 5NB,Injuries to the wrist & hand,2
BS20 6AQ,BS10 5NB,Injuries to the hip & thigh,2
BS20 6AQ,BS10 5NB,Injuries to the knee & lower leg,2
BS20 6AQ,BS10 5NB,Injuries to the ankle & foot,0
BS20 6AQ,BS10 5NB,Injuries involving multiple body regions,0
BS20 6AQ,BS10 5NB,Injuries to unspecified part of trunk limb or body,0
BS20 6AQ,BS10 5NB,Effects of foreign body entering through natural orifice,0
BS20 6AQ,BS10 5NB,Burns and corrosions,0
BS20 6AQ,BS10 5NB,Frostbite,0
BS20 6AQ,BS10 5NB,Poisonings by drugs medicaments & biological substances,3
BS20 6AQ,BS10 5NB,Tox. effcts. of substnces. chiefly non-medicinal as to source,0
BS20 6AQ,BS10 5NB,Other and unspecified effects of external causes,1
BS20 6AQ,BS10 5NB,Certain early complications of trauma,0
BS20 6AQ,BS10 5NB,Complications of surgical & medical care nec.,6
BS20 6AQ,BS10 5NB,Sequelae of injuries of poisoning & other consequences,0
BS20 6AQ,BS10 5NB,Provisional assignment of new diseases of uncertain etiology,0
BS20 6AQ,BS10 5NB,Bacterial agents resistant to antibiotics,0
BS20 6AQ,BS10 5NB,Examination and investigation,8
BS20 6AQ,BS10 5NB,Potential health hazards related to communicable diseases,0
BS20 6AQ,BS10 5NB,Health services in circumstances related to reproduction,14
BS20 6AQ,BS10 5NB,Persons encountering health services for specific care,3
BS20 6AQ,BS10 5NB,Potential health hazards reltd. to socioeconomic & psychosoc.l,0
BS20 6AQ,BS10 5NB,Persons encountering health services in other circs.,1
BS20 6AQ,BS10 5NB,Persons with potential health hazards related to family,0
BS3 1AS,BS10 5NB,Intestinal infectious diseases,8
BS3 1AS,BS10 5NB,Tuberculosis,0
BS3 1AS,BS10 5NB,Certain bacterial diseases,8
BS3 1AS,BS10 5NB,Infections with predominantly sexual mode of transmission,0
BS3 1AS,BS10 5NB,Other infectious and parasitic disorders,0
BS3 1AS,BS10 5NB,Viral infections of the central nervous system,0
BS3 1AS,BS10 5NB,Arthropod-borne viral fevers & viral haemorrhagic fevers,0
BS3 1AS,BS10 5NB,Viral infections characterized by skin & mucous mem. lesns.,1
BS3 1AS,BS10 5NB,Viral hepatitis,0
BS3 1AS,BS10 5NB,Human immunodeficiency virus [HIV] disease,0
BS3 1AS,BS10 5NB,Other viral diseases,6
BS3 1AS,BS10 5NB,Mycoses,0
BS3 1AS,BS10 5NB,Protozoal diseases,0
BS3 1AS,BS10 5NB,Helminthiases,0
BS3 1AS,BS10 5NB,Other infectious and parasitic diseases,0
BS3 1AS,BS10 5NB,Malignant neoplasm of lip-oral cavity and pharynx,1
BS3 1AS,BS10 5NB,Malignant neoplasm of digestive organs,14
BS3 1AS,BS10 5NB,Malignant neoplasms of respiratory & intrathoracic organs,6
BS3 1AS,BS10 5NB,Malignant neoplasm of bone and articular cartilage,0
BS3 1AS,BS10 5NB,Malignant neoplasms of skin,8
BS3 1AS,BS10 5NB,Malignant neoplasms of mesothelial and soft tissue,1
BS3 1AS,BS10 5NB,Malignant neoplasm of breast,11
BS3 1AS,BS10 5NB,Malignant neoplasms of female genital organs,4
BS3 1AS,BS10 5NB,Malignant neoplasms of male genital organs,5
BS3 1AS,BS10 5NB,Malignant neoplasms of urinary tract,5
BS3 1AS,BS10 5NB,"Malignant neoplasms of eye, brain & other parts of CNS",1
BS3 1AS,BS10 5NB,Malignant neoplsm. of thyroid and oth. endo. Glands etc,10
BS3 1AS,BS10 5NB,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss.",20
BS3 1AS,BS10 5NB,In situ & benign neoplasms and others of uncertainty,22
BS3 1AS,BS10 5NB,Anaemias,15
BS3 1AS,BS10 5NB,Diseases of the blood and blood-forming organs,5
BS3 1AS,BS10 5NB,Disorders of thyroid gland,1
BS3 1AS,BS10 5NB,Diabetes Mellitus,3
BS3 1AS,BS10 5NB,Endocrine nutritional and metabolic diseases,12
BS3 1AS,BS10 5NB,Dementia,1
BS3 1AS,BS10 5NB,Other organic including symptomatic mental disorders,1
BS3 1AS,BS10 5NB,Mental and behavioural disorders due to psychoactive subst.,3
BS3 1AS,BS10 5NB,"Schizophrenia, schizotypal and delusional disorders",1
BS3 1AS,BS10 5NB,Mood [affective] disorders,1
BS3 1AS,BS10 5NB,"Neurotic, behavioural & personality disorders",2
BS3 1AS,BS10 5NB,Mental retardation,0
BS3 1AS,BS10 5NB,Other mental and behavioural disorders,0
BS3 1AS,BS10 5NB,Inflammatory diseases of the central nervous system,0
BS3 1AS,BS10 5NB,Other degenerative diseases (incl. Alzheimer).,1
BS3 1AS,BS10 5NB,Extrapyramidal & movement disorders (incl. Parkinsonism).,1
BS3 1AS,BS10 5NB,Demyelinating diseases (incl Multiple Sclerosis) of the CNS.,3
BS3 1AS,BS10 5NB,"Epilepsy, migraine & other episodic disorders",7
BS3 1AS,BS10 5NB,Other diseases & disorders of the nervous syst.,7
BS3 1AS,BS10 5NB,Cerebral palsy & other paralytic syndromes,1
BS3 1AS,BS10 5NB,Other disorders of the eye etc,12
BS3 1AS,BS10 5NB,Disorders of conjunctiva (including conjunctivitis),0
BS3 1AS,BS10 5NB,Disorders of lens (including cataracts),23
BS3 1AS,BS10 5NB,Glaucoma,1
BS3 1AS,BS10 5NB,Diseases of the ear and mastoid process,4
BS3 1AS,BS10 5NB,Rheumatic heart disease,1
BS3 1AS,BS10 5NB,Hypertensive diseases,1
BS3 1AS,BS10 5NB,Ischaemic heart diseases,13
BS3 1AS,BS10 5NB,Pulmonary heart disease & diseases of pulmonary circulation,2
BS3 1AS,BS10 5NB,Other forms of heart disease,16
BS3 1AS,BS10 5NB,Cerebrovascular diseases,6
BS3 1AS,BS10 5NB,"Diseases of arteries, arterioles & capillaries",3
BS3 1AS,BS10 5NB,Diseases of veins & lymphatic system nec.,5
BS3 1AS,BS10 5NB,Other & unspecified disorders of the circulatory system,2
BS3 1AS,BS10 5NB,Acute upper respiratory infections,8
BS3 1AS,BS10 5NB,Influenza & pneumonia,15
BS3 1AS,BS10 5NB,Other acute lower respiratory infections,9
BS3 1AS,BS10 5NB,Other diseases of upper respiratory tract,5
BS3 1AS,BS10 5NB,Chronic lower respiratory diseases,12
BS3 1AS,BS10 5NB,Lung diseases due to external agents,1
BS3 1AS,BS10 5NB,Other diseases of the respiratory system,4
BS3 1AS,BS10 5NB,"Diseases of oral cavity, salivary glands & jaws",13
BS3 1AS,BS10 5NB,"Diseases of oesophagus, stomach & duodenum",22
BS3 1AS,BS10 5NB,Diseases of appendix,2
BS3 1AS,BS10 5NB,Hernia,10
BS3 1AS,BS10 5NB,Noninfective enteritis & colitis,13
BS3 1AS,BS10 5NB,Other diseases of intestines,33
BS3 1AS,BS10 5NB,Diseases of peritoneum,0
BS3 1AS,BS10 5NB,Diseases of liver,2
BS3 1AS,BS10 5NB,"Disorders of gall bladder, biliary tract & pancreas",11
BS3 1AS,BS10 5NB,Other diseases of the digestive system,7
BS3 1AS,BS10 5NB,Other infections and disorders of the skin,17
BS3 1AS,BS10 5NB,Dermatitis and eczema,1
BS3 1AS,BS10 5NB,Papulosquamous disorders (including Psoriasis),1
BS3 1AS,BS10 5NB,Urticaria and erythems,1
BS3 1AS,BS10 5NB,Arthropathies,31
BS3 1AS,BS10 5NB,Systemic connective tissue disorders,1
BS3 1AS,BS10 5NB,Dorsopathies,16
BS3 1AS,BS10 5NB,Soft tissue disorders,13
BS3 1AS,BS10 5NB,Osteopathies and chondropathies,5
BS3 1AS,BS10 5NB,Other disorders of the musculoskeletal system & conn. tiss.,1
BS3 1AS,BS10 5NB,Diseases of the kidney,4
BS3 1AS,BS10 5NB,Renal failure,5
BS3 1AS,BS10 5NB,Urolithiasis,5
BS3 1AS,BS10 5NB,Other disorders of kidney & ureter,0
BS3 1AS,BS10 5NB,Other diseases of the urinary system,14
BS3 1AS,BS10 5NB,Diseases of male genital organs,6
BS3 1AS,BS10 5NB,Disorders of breast,1
BS3 1AS,BS10 5NB,Inflammatory diseases of female pelvic organs,1
BS3 1AS,BS10 5NB,Noninflammatory disorders of female genital tract,11
BS3 1AS,BS10 5NB,Other disorders of the genitourinary system,0
BS3 1AS,BS10 5NB,Pregnancy with abortive outcome,6
BS3 1AS,BS10 5NB,Complications of labour and delivery,54
BS3 1AS,BS10 5NB,Delivery,2
BS3 1AS,BS10 5NB,Complications of fetus/neonate affected by maternal,0
BS3 1AS,BS10 5NB,Other conditions originating in the perinatal period,13
BS3 1AS,BS10 5NB,Congenital malformations,5
BS3 1AS,BS10 5NB,Chromosomal abnormalities nec.,0
BS3 1AS,BS10 5NB,Symptoms & signs inv. the circulatory/respiratory system,22
BS3 1AS,BS10 5NB,Symptoms & signs inv. the digestive system & abdomen,28
BS3 1AS,BS10 5NB,Symptoms & signs inv. the skin & subcutaneous tissue,2
BS3 1AS,BS10 5NB,Symptoms & signs inv. the nervous & musculoskeletal sys.,5
BS3 1AS,BS10 5NB,Symptoms & signs involving the urinary system,5
BS3 1AS,BS10 5NB,Symptoms & signs inv. Cognition perception etc.,4
BS3 1AS,BS10 5NB,Symptoms & signs inv. speech & voice,0
BS3 1AS,BS10 5NB,General symptoms & signs,16
BS3 1AS,BS10 5NB,Unknown & unspecified causes of morbidity,10
